Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00310811495784732,0.00762070357263955,0.0747308365337093,0,0,0,16.8680580478456,0.0786576285226471,-0.000385702252257174,0.000277934835376439,0.0900110438875344,0.000537608210419312,0.108983350406661,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/base_link.STL,,加长版机身-1;机身侧板v3-1;机身侧板v3-2;电池舱v2-1;电池舱v2-2;电池盒装配v3-1;电池盒装配v3-2;头部装配-1;屁股主要部分v2-1;RS04new-6;RS04new-3;RS04new-5;RS04new-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip_link,0.0704017225895825,-0.0495415286590533,8.80357853739466E-05,0,0,0,1.93168863114918,0.00234744679484513,-0.000132785795887332,-3.08072400792168E-05,0.0042562887492077,-1.60797460343467E-06,0.00238693862987618,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_hip_link.STL,,小轮子腿装配镜像-1/CAR第一架v21-1;小轮子腿装配镜像-1/RS04new-1,fr_hip_frame,fr_hip_axis,fr_hip_joint,revolute,0.249499130406989,-0.0649955689600996,0.08105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
fr_thigh_Link,-0.166708066925144,-0.0420780272902369,-0.0110278506868571,0,0,0,2.90117705856211,0.00330524466652869,-0.000543464422003246,0.000810930787049234,0.0182515720844247,-3.67464639271331E-05,0.0153565808372046,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_thigh_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_thigh_Link.STL,,小轮子腿装配镜像-1/法兰锁闭装置-2;小轮子腿装配镜像-1/法兰锁闭装置-1;小轮子腿装配镜像-1/大腿杆1-1;小轮子腿装配镜像-1/大腿杆2-1;小轮子腿装配镜像-1/腿侧法兰-1;小轮子腿装配镜像-1/法兰2-1;小轮子腿装配镜像-1/第一层法兰-1;小轮子腿装配镜像-1/RS04new-2;小轮子腿装配镜像-1/膝关节法兰外壳-1;小轮子腿装配镜像-1/膝关节法兰外壳盖子-1;小轮子腿装配镜像-1/膝关节法兰外壳卡子-1;小轮子腿装配镜像-1/膝关节橡胶垫-1;小轮子腿装配镜像-1/膝关节橡胶垫-2,fr_thigh_frame,fr_thigh_axis,fr_thigh_joint,revolute,0.078,-0.0795000000000001,0,0,0,0,fr_hip_link,0,-1,0,0,0,0,0,,,,,,,,
fr_calf_Link,0.10659800668474,-0.0403787827627548,0.0135568578605509,0,0,0,1.67779071280051,0.00128849439883205,3.23457305119651E-05,0.00106790716955543,0.0104161678209166,5.18332993936616E-06,0.00932421790116673,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_calf_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_calf_Link.STL,,小轮子腿装配镜像-1/基于小轮胎和小电机重新设计的小腿-1;小轮子腿装配镜像-1/腿侧法兰-2;小轮子腿装配镜像-1/膝关节限位装置-1;小轮子腿装配镜像-1/法兰锁闭装置-4;小轮子腿装配镜像-1/法兰锁闭装置-3;小轮子腿装配镜像-1/法兰2-2;小轮子腿装配镜像-1/第一层法兰-2;小轮子腿装配镜像-1/RS02-1,fr_calf_frame,fr_calf_axis,fr_calf_joint,revolute,-0.249451593500561,-0.0695000000002556,-0.0165499999999593,0,0,0,fr_thigh_Link,0,-1,0,0,0,0,0,,,,,,,,
fr_foot_Link,-7.70371271552328E-07,-0.0167134458609114,4.94421370039744E-07,0,0,0,0.688137777082471,0.00193761151781496,-2.57587693949485E-10,-6.41601907721168E-09,0.00370142702449593,-1.0711287781219E-10,0.00193770346138783,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_foot_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fr_foot_Link.STL,,小轮子腿装配镜像-1/八寸轮胎-1;小轮子腿装配镜像-1/帅气的八寸轮毂-2;小轮子腿装配镜像-1/帅气的八寸轮毂-1;小轮子腿装配镜像-1/rs02对应的轮子轴-1,fr_foot_frame,fr_foot_axis,fr_foot_joint,continuous,0.240758312485881,-0.0728999999998979,0.0304999999998886,0,0,0,fr_calf_Link,0,-1,0,,,,,,,,,,,,
fl_hip_Link,0.070379161099678,0.0495415315186698,0.000238043823218098,0,0,0,1.93168893346026,0.00237421663199216,0.000133330882149118,2.64579498044303E-05,0.00425628879110526,-6.06917883258116E-07,0.00236016884099222,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_hip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_hip_Link.STL,,CAR第一架v21-1;RS04new-1,fl_hip_frame,fl_hip_axis,fl_hip_joint,revolute,0.249499130406989,0.0650044310399004,0.08105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
fl_thigh_Link,-0.166743394168426,0.042078036923854,-0.0106794707434113,0,0,0,2.90117438854561,0.00331353968561871,0.000543636741695271,0.000815387088542864,0.0182515582962258,3.53721031704957E-05,0.0153482715648423,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_thigh_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_thigh_Link.STL,,大腿杆2-1;大腿杆1-1;腿侧法兰-1;法兰锁闭装置-2;法兰锁闭装置-1;法兰2-1;第一层法兰-1;RS04new-2;膝关节法兰外壳-1;膝关节法兰外壳盖子-1;膝关节法兰外壳卡子-1;膝关节橡胶垫-1;膝关节橡胶垫-2,fl_thigh_frame,fl_thigh_axis,fl_thigh_joint,revolute,0.0779999999999996,0.0795,0,0,0,0,fl_hip_Link,0,1,0,0,0,0,0,,,,,,,,
fl_calf_Link,0.10664345872736,0.0403786478979676,0.0132732813903658,0,0,0,1.67778820929252,0.00126855388711222,-3.279285180445E-05,0.00101897551403361,0.0104162999506149,-3.04343093797486E-06,0.00934428725591411,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_calf_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_calf_Link.STL,,基于小轮胎和小电机重新设计的小腿-1;法兰锁闭装置-3;法兰锁闭装置-4;法兰2-2;第一层法兰-2;膝关节限位装置-1;RS02-1;腿侧法兰-2,fl_calf_frame,fl_calf_axis,fl_calf_joint,revolute,-0.249477809634444,0.0695,-0.0161500000000001,0,0,0,fl_thigh_Link,0,1,0,0,0,0,0,,,,,,,,
fl_foot_Link,-4.29908398352774E-07,0.0167134486347251,-8.39200502644744E-07,0,0,0,0.688139274926827,0.00193761721039384,3.58457842843482E-10,1.24117992019396E-08,0.00370142960448307,-1.07654434466312E-10,0.00193770034146217,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_foot_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/fl_foot_Link.STL,,八寸轮胎-1;帅气的八寸轮毂-2;帅气的八寸轮毂-1;rs02对应的轮子轴-1,fl_foot_frame,fl_foot_axis,fl_foot_joint,continuous,0.240808648164914,0.0728999999999999,0.0300999999999999,0,0,0,fl_calf_Link,0,1,0,,,,,,,,,,,,
rr_hip_Link,-0.0703929269885041,-0.0495415299298713,0.000183888541443744,0,0,0,1.93168893837444,0.00237010342584294,0.000133269859811541,-2.88427916626162E-05,0.0042562889118131,7.8146564092338E-07,0.00236428216436814,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/rr_hip_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://新版小轮子机器狗装配/meshes/rr_hip_Link.STL,,小轮子腿装配-1/CAR第一架v21-1;小轮子腿装配-1/RS04new-1,rr_hip_frame,rr_hip_axis,rr_hip_joint,revolute,-0.249500869593011,-0.0649955689600994,0.08105,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
